date,new.ret.total.count,new.ret.total.benefit,new.ret.men.count,new.ret.men.benefit,new.ret.women.count,new.ret.women.benefit,new.spouse.total.count,new.spouse.total.benefit,new.spouse.men.count,new.spouse.men.benefit,new.spouse.women.count,new.spouse.women.benefit
2005-10-01,150607,954.02,80769,1128.1799999999998,69838,752.6,25203,360.2,1047,262.31,24156,364.44
2005-11-01,153883,950.47,83073,1120.11,70810,751.4499999999999,26642,364.25,1149,244.35,25493,369.66
2005-12-01,134725,1011.6,68007,1189.8,66718,829.97,20271,380.88,957,267.14,19314,386.52
2006-01-01,316433,1122.53,170486,1303.83,145947,910.76,41997,380.92,1891,278.97,40106,385.72
2006-02-01,185647,1030.49,98927,1211.07,86720,824.49,31974,369.65,1560,269.3,30414,374.8
2006-03-01,174143,1013.01,92616,1191.46,81527,810.2900000000001,30536,370.92,1441,269.71,29095,375.93
2006-04-01,169490,1005.02,91427,1178.73,78063,801.56,30165,372.68,1551,277.19,28614,377.85
2006-05-01,152945,997.1700000000001,82486,1169.54,70459,795.37,28129,376.42,1432,276.4,26697,381.79
2006-06-01,156458,1005.4499999999999,83906,1181.05,72552,802.37,27985,375.48,1461,271.98,26524,381.18
2006-07-01,134512,981.3199999999999,68460,1140.6599999999999,66052,816.1800000000001,24070,373.91,1194,278.14,22876,378.9
2006-08-01,125283,949.14,64439,1111.09,60844,777.61,24060,363.61,1159,264.87,22901,368.61
2006-09-01,151025,996.8599999999999,79889,1174.73,71136,797.12,25469,375.33,1241,266.53,24228,380.91
2006-10-01,150897,1000.76,79196,1176.1899999999998,71701,806.99,25368,374.72,1178,266.61,24190,379.98
2006-11-01,161517,1002.15,83083,1170.31,78434,824.01,26247,373.01,1274,265.01,24973,378.52
2006-12-01,125062,1045.85,65783,1232.4,59279,838.8299999999999,16963,400.46,707,285.9,16256,405.44
2007-01-01,320429,1182.81,174824,1368.54,145605,959.8199999999999,37756,381,1478,276.63,36278,385.25
2007-02-01,183319,1077.07,98661,1259.36,84658,864.62,29141,374.42,1181,292.82,27960,377.87
2007-03-01,177307,1061.3799999999999,94723,1239.1,82584,857.54,28816,367.94,1296,274.88,27520,372.32
2007-04-01,172014,1050.1299999999999,92372,1227.49,79642,844.41,27561,374.87,1261,274.73,26300,379.67
2007-05-01,155679,1047.08,83776,1224.4,71903,840.49,25065,372.06,1212,268.22,23853,377.34
2007-06-01,168804,1053.1399999999999,85991,1228.84,82813,870.69,26359,380.94,1243,277.53,25116,386.06
2007-07-01,171242,1063.94,87759,1242.1499999999999,83483,876.6,26304,386.63,1241,288.17,25063,391.5
2007-08-01,158476,1052.47,82944,1238.44,75532,848.24,24650,397.08,1140,282.66,23510,402.63
2007-09-01,126319,993.76,64647,1161.98,61672,817.42,23001,380.79,1107,274.79,21894,386.15
2007-10-01,117817,974.89,59936,1142.08,57881,801.76,21294,381.11,1074,273.72,20220,386.81
2007-11-01,161647,1035,83598,1217.83,78049,839.1700000000001,25837,385,1177,281.39,24660,389.95
2007-12-01,137495,1077.55,72387,1266.33,65108,867.66,21301,402.16,932,300.79,20369,406.8
2008-01-01,337888,1211.52,182622,1401.04,155266,988.6,42715,396.27,1687,296.95,41028,400.36
2008-02-01,196971,1104.52,104638,1291.42,92333,892.71,33361,386.49,1489,284.67,31872,391.25
2008-03-01,194494,1080.95,102860,1262.83,91634,876.7900000000001,31829,392.78,1591,288.47,30238,398.26
2008-04-01,176292,1083.1299999999999,94197,1266.1599999999999,82095,873.12,28873,393.33,1433,303.05,27440,398.04
2008-05-01,170169,1082.6,90616,1267.05,79553,872.51,26921,396.34,1313,290.81,25608,401.75
2008-06-01,184105,1111.31,95852,1292.49,88253,914.52,26883,399.8,1301,288.81,25582,405.44
2008-07-01,181825,1124.24,94714,1306.6799999999998,87111,925.88,26290,402.81,1319,299.38,24971,408.27
2008-08-01,187179,1109.01,98809,1293.1899999999998,88370,903.07,27921,405.45,1366,305.88,26555,410.57
2008-09-01,183102,1102.76,96618,1286.96,86484,896.99,27345,403.3,1374,309.4,25971,408.27
2008-10-01,187710,1104.1799999999998,99550,1286.93,88160,897.8199999999999,27747,408.72,1370,317.55,26377,413.46
2008-11-01,159562,1024.03,82383,1192.92,77179,843.75,26483,390.86,1406,281.45,25077,396.99
2008-12-01,129542,1083.34,61790,1256.1599999999999,67752,925.74,18025,409.88,969,309.51,17056,415.58
2009-01-01,403215,1275.3799999999999,214424,1468.3,188791,1056.26,47144,414.73,1965,316.15,45179,419.01
2009-02-01,239417,1174.29,127819,1361.29,111598,960.11,35371,410.21,1526,317.83,33845,414.37
2009-03-01,239903,1162.6,128100,1346.9,111803,951.4399999999999,35702,413.54,1774,322.55,33928,418.3
2009-04-01,216688,1154.96,115786,1340.1899999999998,100902,942.41,30888,418.1,1497,313.45,29391,423.43
2009-05-01,210909,1157.22,112896,1340.04,98013,946.63,30770,418.98,1572,327.16,29198,423.93
2009-06-01,218924,1169.84,112404,1351.41,106520,978.24,28618,419.61,1590,317.39,27028,425.62
2009-07-01,221294,1178.6299999999999,115889,1361.27,105405,977.8299999999999,28912,425.71,1515,324.49,27397,431.31
2009-08-01,219597,1167.97,117121,1352.1299999999999,102476,957.49,30232,423.11,1564,318.97,28668,428.79
2009-09-01,201989,1166.1299999999999,107014,1352.58,94975,956.05,28121,427.53,1556,346.81,26565,432.26
2009-10-01,198766,1162.3799999999999,106135,1341.41,92631,957.24,28149,432.99,1607,352.7,26542,437.85
2009-11-01,189812,1154.77,101403,1333.7,88409,949.54,27017,434.9,1647,337.22,25370,441.24
2009-12-01,180403,1168.6,93849,1339.93,86554,982.8399999999999,24580,431.46,1511,340.67,23069,437.41
2010-01-01,372743,1266.28,199108,1450.96,173635,1054.5,44673,422.58,2259,345.22,42414,426.7
2010-02-01,221820,1186.36,118315,1366.42,103505,980.54,32605,417.14,1700,356.23,30905,420.49
2010-03-01,218725,1171.49,116258,1348.57,102467,970.56,31933,426.17,1818,356.07,30115,430.4
2010-04-01,208191,1167.6899999999998,110236,1347.8,97955,965,29356,426.26,1757,341.51,27599,431.65
2010-05-01,198445,1169.6299999999999,105686,1346.3799999999999,92759,968.24,28010,432.35,1712,357.83,26298,437.2
2010-06-01,207671,1189.48,106138,1360.84,101533,1010.3399999999999,27318,434.84,1728,347.55,25590,440.73
2010-07-01,217174,1208.53,111663,1383.83,105511,1023.02,27948,438.02,1880,369.81,26068,442.94
2010-08-01,215496,1182.56,112905,1361.8899999999999,102591,985.21,29649,439.89,1919,374.51,27730,444.42
2010-09-01,198777,1181.96,103934,1362.02,94843,984.64,26107,441.55,1586,374.72,24521,445.87
2010-10-01,201338,1176.28,105914,1352.6799999999998,95424,980.48,27393,443.3,1835,366.35,25558,448.83
2010-11-01,198882,1166.6399999999999,105557,1337.46,93325,973.43,27955,444.7,1860,359.04,26095,450.81
2010-12-01,176068,1189.77,91269,1357.36,84799,1009.39,22404,453.35,1402,381.73,21002,458.14
2011-01-01,369443,1272.95,194603,1453.58,174840,1071.9,43821,432.6,2606,360.36,41215,437.17
2011-02-01,218828,1185.28,115516,1360.33,103312,989.55,31352,433.63,1880,372.46,29472,437.53
2011-03-01,213152,1180.85,112390,1353.2,100762,988.61,30662,435.81,2065,367.36,28597,440.75
2011-04-01,208159,1173.6,109196,1348.51,98963,980.6,29138,440.57,2005,355.77,27133,446.83
2011-05-01,196140,1182.25,103633,1353.87,92507,989.99,27385,443.94,1898,372.25,25487,449.28
2011-06-01,203885,1196.1699999999998,102601,1362.44,101284,1027.74,25524,446.04,1797,375.49,23727,451.39
2011-07-01,216758,1204.72,109711,1376.6799999999998,107047,1028.48,27890,451.08,1976,367.83,25914,457.43
2011-08-01,210561,1187.95,108471,1363.6,102090,1001.3299999999999,28589,457.84,1918,379.84,26671,463.45
2011-09-01,198391,1187.99,102307,1365.2,96084,999.31,26818,456.23,1781,377.44,25037,461.84
2011-10-01,197637,1182.3899999999999,102801,1355.6899999999998,94836,994.53,28012,458.12,2047,379.65,25965,464.31
2011-11-01,192873,1165.26,100773,1331.49,92100,983.37,27564,455.56,1976,381.83,25588,461.26
2011-12-01,172240,1231.96,88678,1407.8899999999999,83562,1045.26,22279,485.09,1559,417.09,20720,490.2
2012-01-01,363402,1326.1699999999998,188031,1511.84,175371,1127.11,42227,455.54,2838,380.43,39389,460.95
2012-02-01,220952,1236.78,114863,1417.46,106089,1041.1599999999999,31568,458.46,2156,391.54,29412,463.36
2012-03-01,213375,1233.6699999999998,111410,1412.22,101965,1038.58,31050,470.28,2325,399.32,28725,476.03
2012-04-01,207998,1232,108283,1412.84,99715,1035.6299999999999,29556,476.93,2270,418.41,27286,481.8
2012-05-01,194571,1243.6499999999999,101732,1425.06,92839,1044.87,26975,484.99,2146,427.37,24829,489.97
2012-06-01,219157,1253.1699999999998,110130,1428.6699999999998,109027,1075.91,28865,480.39,2237,421.98,26628,485.29
2012-07-01,230845,1267.84,117637,1450.1499999999999,113208,1078.4,30265,492.85,2282,423.25,27983,498.52
2012-08-01,219631,1264.05,113749,1448.12,105882,1066.3,28872,499.21,2292,448.01,26580,503.62
2012-09-01,228014,1270.1699999999998,118467,1455.81,109547,1069.41,31550,503.75,2473,456.79,29077,507.75
2012-10-01,217116,1271.6299999999999,113881,1455.79,103235,1068.49,28871,519.43,2298,455.04,26573,524.99
2012-11-01,207373,1267.52,108644,1450.05,98729,1066.6499999999999,28596,517.48,2341,466.61,26255,522.02
2012-12-01,221676,1309.58,116669,1489.56,105007,1109.6,31557,529.94,2673,483.11,28884,534.27
2013-01-01,397293,1380.96,209582,1566.48,187711,1173.83,45436,496.34,3279,451.16,42157,499.85
2013-02-01,239112,1302.6699999999998,125499,1484.1699999999998,113613,1102.1799999999998,34229,506.57,2718,455.25,31511,510.99
2013-03-01,235148,1299.28,123599,1481.48,111549,1097.3799999999999,35033,514.61,2866,464.59,32167,519.07
2013-04-01,228792,1289.42,119688,1472.1699999999998,109104,1088.95,33487,524.21,2798,476.17,30689,528.59
2013-05-01,213303,1295.83,111027,1474.93,102276,1101.41,30495,530.42,2755,469.57,27740,536.46
2013-06-01,234515,1308.1799999999998,115788,1479.26,118727,1141.34,31205,531.78,2776,487.62,28429,536.09
2013-07-01,229149,1314.04,116227,1494.57,112922,1128.22,30926,536.91,2773,483.62,28153,542.16
2013-08-01,220540,1300.3799999999999,113456,1482.59,107084,1107.33,31084,539.16,2722,492.2,28362,543.66
2013-09-01,217792,1299.57,112362,1483.05,105430,1104.02,31055,544.51,2692,491.7,28363,549.52
2013-10-01,195661,1294.33,101020,1477.06,94641,1099.28,27504,543.21,2486,491.44,25018,548.36
2013-11-01,204368,1282.3899999999999,106539,1457.8,97829,1091.36,30358,552.41,3042,522.27,27316,555.77
2013-12-01,188826,1320.58,97903,1496.76,90923,1130.87,26974,564.16,2554,525.06,24420,568.25
2014-01-01,354237,1405.55,184804,1587.5,169433,1207.09,26095,672.28,2978,583.2,23117,683.76
2014-02-01,228474,1333.98,119848,1513.21,108626,1136.23,21353,687.64,2580,572.97,18773,703.4
2014-03-01,234620,1323.91,122602,1506.24,112018,1124.35,23710,686.81,2918,584.98,20792,701.11
2014-04-01,235658,1312.6599999999999,122677,1493.26,112981,1116.57,24846,684.51,3047,580.91,21799,698.99
2014-05-01,215145,1321.1299999999999,111703,1499.1399999999999,103442,1128.92,21997,695.46,2710,596.28,19287,709.4
2014-06-01,223201,1325.98,113096,1497.44,110105,1149.87,22422,690.44,2781,588.24,19641,704.91
2014-07-01,227843,1338.1599999999999,115542,1511.73,112301,1159.58,21586,708.53,2607,623.37,18979,720.23
2014-08-01,226388,1329.72,116544,1507.21,109844,1141.4,22761,705.59,2778,613.22,19983,718.43
2014-09-01,231673,1323.1299999999999,119095,1503.8899999999999,112578,1131.91,24529,706.65,2984,612.44,21545,719.7
2014-10-01,211727,1322.24,109744,1504.27,101983,1126.36,23295,708,2817,608.92,20478,721.63
2014-11-01,195336,1320,100805,1500.54,94531,1127.47,20376,721.85,2435,613.41,17941,736.57
2014-12-01,196920,1367.58,101201,1554.1299999999999,95719,1170.35,20542,726.07,2481,623.55,18061,740.15
2015-01-01,363494,1429.7,188115,1613.52,175379,1232.54,27717,711.9,3369,618.98,24348,724.76
2015-02-01,232278,1363.53,120364,1548.9,111914,1164.1699999999998,21756,732.42,2605,638.06,19151,745.25
2015-03-01,237913,1365.92,124461,1551.6799999999998,113452,1162.1299999999999,25653,742.46,3286,650.26,22367,756.01
2015-04-01,239895,1357.3899999999999,126107,1541.41,113788,1153.45,27045,741.37,3638,641.7,23407,756.86
2015-05-01,222543,1361.04,116674,1540.32,105869,1163.46,25677,744.13,3446,638.06,22231,760.57
2015-06-01,228513,1365.5,116214,1542.1699999999998,112299,1182.6699999999998,24828,748.49,3313,657.08,21515,762.56
2015-07-01,238543,1374.83,122213,1554.42,116330,1186.1599999999999,26363,757.87,3566,662.51,22797,772.79
2015-08-01,240394,1361.91,124521,1544.5,115873,1165.7,27602,762.21,3824,661.68,23778,778.37
2015-09-01,222483,1358.41,115889,1540.03,106594,1160.95,25414,759,3417,650.44,21997,775.87
2015-10-01,218274,1356.72,114114,1538.75,104160,1157.3,26587,759.23,3619,655.1,22968,775.64
2015-11-01,200220,1363.23,104712,1547.03,95508,1161.71,23690,773.94,3310,659.07,20380,792.6
2015-12-01,204067,1396.01,107071,1585.29,96996,1187.08,24616,776.17,3545,670.91,21071,793.88
2016-01-01,369797,1448.23,196025,1631.1699999999998,173772,1241.86,32966,758.49,4621,662.9,28345,774.08
2016-02-01,242791,1402.6299999999999,129500,1595.86,113291,1181.76,28160,765.1,4146,660.18,24014,783.21
2016-03-01,229243,1418.84,122525,1617.3,106718,1190.99,26255,781.01,3814,676.52,22441,798.77
2016-04-01,258968,1433.6699999999998,140118,1642.77,118850,1187.1599999999999,33406,788.84,5208,680.32,28198,808.88
2016-05-01,241283,1420.6699999999998,127921,1618.09,113362,1197.8899999999999,30440,786.61,4790,681.16,25650,806.3
2016-06-01,231452,1389.24,117611,1566.01,113841,1206.61,25759,759.36,3916,667.88,21843,775.76
2016-07-01,245055,1393.22,124143,1569.04,120912,1212.7,26253,755.5,4046,653.84,22207,774.03
2016-08-01,239232,1380.6299999999999,123727,1548.61,115505,1200.6899999999998,25918,743.13,3903,642.67,22015,760.94
2016-09-01,227745,1377.6299999999999,117220,1546.24,110525,1198.79,23945,742.99,3604,640.13,20341,761.21
2016-10-01,226261,1376.79,116608,1544.53,109653,1198.41,25436,734.68,3772,637.01,21664,751.69
2016-11-01,198962,1378.92,101664,1545.73,97298,1204.62,20633,742.27,3055,634.9,17578,760.93
2016-12-01,210323,1406.58,107691,1571.2,102632,1233.84,22817,744.72,3583,644.26,19234,763.43
2017-01-01,393787,1472.8,205718,1644.86,188069,1284.59,32057,727.38,4935,637.11,27122,743.81
2017-02-01,243212,1425.6299999999999,125942,1597.92,117270,1240.6,23727,743.71,3772,642.12,19955,762.91
2017-03-01,244357,1423.1499999999999,126870,1595.23,117487,1237.33,25692,743.1,4095,642.72,21597,762.14
2017-04-01,241454,1415.75,125562,1587.6599999999999,115892,1229.5,26043,746.27,4183,645.38,21860,765.57
2017-05-01,235437,1419.53,121147,1591.1599999999999,114290,1237.6,25127,747.92,4113,646.34,21014,767.8
2017-06-01,240982,1417.98,122698,1587.58,118284,1242.05,25110,746.42,4202,648.59,20908,766.09
2017-07-01,253249,1431.6599999999999,128789,1605.21,124460,1252.07,26548,753.16,4528,658,22020,772.73
2017-08-01,243199,1418.47,124506,1592.8799999999999,118693,1235.53,25731,756.44,4258,664.34,21473,774.71
2017-09-01,237474,1416.71,121175,1591.78,116299,1234.3,25134,757.1,4268,663.59,20866,776.22
2017-10-01,237325,1415.1499999999999,121867,1587,115458,1233.76,26898,752.51,4593,653.71,22305,772.86
2017-11-01,200221,1413.8799999999999,102257,1585.22,97964,1235.04,20520,763.72,3485,661.59,17035,784.61
2017-12-01,213717,1460.04,109593,1632.53,104124,1278.49,23934,770.64,4216,671.14,19718,791.91
2018-01-01,394887,1533.93,207254,1712.31,187633,1336.9,32352,755.64,5719,667.49,26633,774.57
2018-02-01,242823,1477.1599999999999,126257,1657.24,116566,1282.11,23162,771.72,4089,672.19,19073,793.06
2018-03-01,273194,1475.04,142049,1650.53,131145,1284.96,29271,773.85,5335,670.27,23936,796.93
2018-04-01,252684,1464.07,130760,1639.3799999999999,121924,1276.06,27381,773.76,5063,679,22318,795.26
2018-05-01,234945,1466.28,120307,1639.48,114638,1284.52,25603,781.59,4743,677.09,20860,805.35
2018-06-01,247879,1470.42,125919,1647.45,121960,1287.6499999999999,26322,783.48,4889,684.62,21433,806.03
2018-07-01,266085,1480.12,135015,1656.6899999999998,131070,1298.24,28205,781.16,5317,681.58,22888,804.3
2018-08-01,254511,1466.8799999999999,129690,1643.21,124821,1283.6599999999999,27228,792.15,5204,680.14,22024,818.62
2018-09-01,255350,1456.3899999999999,129710,1632.75,125640,1274.32,27803,789.6,5282,691.29,22521,812.65
2018-10-01,240771,1453.76,122727,1629.02,118044,1271.56,28079,785.37,5370,683.23,22709,809.52
2018-11-01,205509,1458.73,103521,1635.3899999999999,101988,1279.43,22210,793.17,4334,683.53,17876,819.76
2018-12-01,222883,1522.58,113339,1702.06,109544,1336.87,25275,802.77,4848,698.33,20427,827.56
2019-01-01,398730,1591.6699999999998,208318,1776.41,190412,1389.55,35817,798.36,7220,705.22,28597,821.87
2019-02-01,256773,1541.72,133278,1725.26,123495,1343.6399999999999,26857,807.92,5598,709.29,21259,833.89
2019-03-01,273110,1538.26,141221,1721.03,131889,1342.56,32310,806.96,6817,701.13,25493,835.26
2019-04-01,256850,1520.34,132142,1702.31,124708,1327.53,30339,808.17,6366,696.95,23973,837.7
2019-05-01,249947,1526.54,127055,1706.52,122892,1340.47,28256,816.94,5831,709.94,22425,844.76
2019-06-01,267866,1526.54,135213,1704.12,132653,1345.54,30460,816.4,6444,711.75,24016,844.48
2019-07-01,269028,1532.35,135202,1717.96,133826,1344.83,29894,826.36,6401,721.25,23493,855
2019-08-01,264944,1521.27,133923,1703.3799999999999,131021,1335.12,30780,826.65,6518,721.57,24262,854.89
2019-09-01,266048,1517.06,134411,1697.74,131637,1332.57,31775,830.28,6900,721.67,24875,860.41
2019-10-01,243757,1514.6,123841,1691.1299999999999,119916,1332.28,29885,827.41,6253,719.6,23632,855.94
2019-11-01,236095,1504.51,118810,1679.81,117285,1326.93,29286,824.57,6337,715.49,22949,854.69
2019-12-01,201083,1560.79,102127,1741.8,98956,1373.97,22269,848.08,4602,733.39,17667,877.96
2020-01-01,421659,1635.3799999999999,218366,1821.91,203293,1435.02,34372,797.06,7703,720.28,26669,819.23
2020-02-01,285353,1590.56,146928,1778.03,138425,1391.58,24968,769.4,5449,706.73,19519,786.9
2020-03-01,295134,1594.1,151509,1783.1799999999998,143625,1394.6299999999999,28756,769.32,6586,699.74,22170,790
2020-04-01,274047,1617,140880,1810.07,133167,1412.75,21867,762.24,4755,693.96,17112,781.21
2020-05-01,273054,1625.6399999999999,137883,1819.34,135171,1428.06,20561,770.62,4555,707.12,16006,788.68
2020-06-01,262033,1615.05,131794,1811.91,130239,1415.83,18249,771.41,3780,698.97,14469,790.34
2020-07-01,269776,1619.08,135240,1819.1299999999999,134536,1417.98,18299,756.24,3627,700.33,14672,770.07
2020-08-01,281101,1608.6299999999999,140823,1807.54,140278,1408.95,19034,756.16,3740,691.93,15294,771.87
2020-09-01,263528,1601.09,131775,1802.04,131753,1400.11,17176,755.2,3247,695.67,13929,769.08
